Code article,Libellé,Code Famille Articles,Libellé de la famille article,Code sous-famille article,Libellé de la sous-famille article,PV HT,Taux de TVA,PV TTC,Nom du fournisseur,Image de l'article (Base 64),Stock réel,Code barre,Code article gamme,Valeurs de gammes,Gammes
AR00027,GANT BERETTA HIVER L,FAR00001,VÊTEMENTS BALL TRAP,,,50.69000000,8.50,54.99865000,,,0,,AG00004,L,GA00003
AR00028,GANT BERETTA HIVER XL,FAR00001,VÊTEMENTS BALL TRAP,,,50.69000000,8.50,54.99865000,,,0,,AG00004,XL,GA00003
AR00029,GANT BERETTA HIVER 2XL,FAR00001,VÊTEMENTS BALL TRAP,,,50.69000000,8.50,54.99865000,,,0,,AG00004,2XL,GA00003
AR00030,GANT BERETTA ETE L,FAR00001,VÊTEMENTS BALL TRAP,,,48.85000000,8.50,53.00225000,,,0,,AG00024,L,GA00003
AR00031,GANT BERETTA ETE XL,FAR00001,VÊTEMENTS BALL TRAP,,,48.85000000,8.50,53.00225000,,,0,,AG00024,XL,GA00003
AR00032,GANT BERETTA ETE 2XL,FAR00001,VÊTEMENTS BALL TRAP,,,48.85000000,8.50,53.00225000,,,0,,AG00024,2XL,GA00003
AR00033,GILET CASTELLANI RIO 156, 52, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,156¤52¤DROIT,GA00002¤GA00003¤GA00004
AR00034,GILET CASTELLANI RIO 156, 52, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,156¤52¤GAUCHE,GA00002¤GA00003¤GA00004
AR00035,GILET CASTELLANI RIO 156, 54, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,156¤54¤DROIT,GA00002¤GA00003¤GA00004
AR00036,GILET CASTELLANI RIO 156, 54, GAUCHER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,156¤54¤GAUCHE,GA00002¤GA00003¤GA00004
AR00037,GILET CASTELLANI RIO 156, 50, DROITIER,FAR00001,VÊTEMENTS BALL TRAP,,,175.12000000,8.50,190.00520000,,,0,,AG00012,156¤50¤DROIT,GA00002¤GA00003¤GA00004
